Country,Year,fertility,life,population,region
Afghanistan,1964,7.671,33.639,10474903,South Asia
Afghanistan,1965,7.671,34.152,10697983,South Asia
Afghanistan,1966,7.671,34.662,10927724,South Asia
Afghanistan,1967,7.671,35.17,11163656,South Asia
Afghanistan,1968,7.671,35.674,11411022,South Asia
Afghanistan,1969,7.671,36.172,11676990,South Asia
Afghanistan,1970,7.671,36.663,11964906,South Asia
Afghanistan,1971,7.671,37.143,12273101,South Asia
Afghanistan,1972,7.671,37.614,12593688,South Asia
Afghanistan,1973,7.671,38.075,12915499,South Asia
Afghanistan,1974,7.671,38.529,13223928,South Asia
Afghanistan,1975,7.671,38.977,13505544,South Asia
Afghanistan,1976,7.67,39.417,13766792,South Asia
Afghanistan,1977,7.67,39.855,14003408,South Asia
Afghanistan,1978,7.67,40.298,14179656,South Asia
Afghanistan,1979,7.669,40.756,14249493,South Asia
Afghanistan,1980,7.669,41.242,14185729,South Asia
Afghanistan,1981,7.67,41.77,13984092,South Asia
Afghanistan,1982,7.671,42.347,13672870,South Asia
Afghanistan,1983,7.673,42.977,13300056,South Asia
Afghanistan,1984,7.676,43.661,12931791,South Asia
Afghanistan,1985,7.679,44.4,12625292,South Asia
Afghanistan,1986,7.681,45.192,12372113,South Asia
Afghanistan,1987,7.682,46.024,12183387,South Asia
Afghanistan,1988,7.682,46.88,12156685,South Asia
Afghanistan,1989,7.682,47.744,12414686,South Asia
Afghanistan,1990,7.687,48.601,13032161,South Asia
Afghanistan,1991,7.7,49.439,14069854,South Asia
Afghanistan,1992,7.725,50.247,15472076,South Asia
Afghanistan,1993,7.758,51.017,17053213,South Asia
Afghanistan,1994,7.796,51.738,18553819,South Asia
Afghanistan,1995,7.832,52.4,19789880,South Asia
Afghanistan,1996,7.859,52.995,20684982,South Asia
Afghanistan,1997,7.869,53.527,21299350,South Asia
Afghanistan,1998,7.854,54.009,21752257,South Asia
Afghanistan,1999,7.809,54.449,22227543,South Asia
Afghanistan,2000,7.733,54.863,22856302,South Asia
Afghanistan,2001,7.623,55.271,23677385,South Asia
Afghanistan,2002,7.484,55.687,24639841,South Asia
Afghanistan,2003,7.321,56.122,25678639,South Asia
Afghanistan,2004,7.136,56.583,26693486,South Asia
Afghanistan,2005,6.93,57.071,27614718,South Asia
Afghanistan,2006,6.702,57.582,28420974,South Asia
Afghanistan,2007,6.456,58.102,29145841,South Asia
Afghanistan,2008,6.196,58.618,29839994,South Asia
Afghanistan,2009,5.928,59.124,30577756,South Asia
Afghanistan,2010,5.659,59.612,31411743,South Asia
Afghanistan,2011,5.395,60.079,32358260,South Asia
Afghanistan,2012,5.141,60.524,33397058,South Asia
Afghanistan,2013,4.9,60.947,34499915,South Asia
Albania,1964,5.711,65.475,1817098,Europe & Central Asia
Albania,1965,5.594,65.863,1869942,Europe & Central Asia
Albania,1966,5.483,66.122,1922993,Europe & Central Asia
Albania,1967,5.376,66.316,1976140,Europe & Central Asia
Albania,1968,5.268,66.5,2029314,Europe & Central Asia
Albania,1969,5.16,66.702,2082474,Europe & Central Asia
Albania,1970,5.05,66.948,2135599,Europe & Central Asia
Albania,1971,4.933,67.251,2188650,Europe & Central Asia
Albania,1972,4.809,67.595,2241623,Europe & Central Asia
Albania,1973,4.677,67.966,2294578,Europe & Central Asia
Albania,1974,4.538,68.356,2347607,Europe & Central Asia
Albania,1975,4.393,68.748,2400801,Europe & Central Asia
Albania,1976,4.244,69.121,2454255,Europe & Central Asia
Albania,1977,4.094,69.459,2508026,Europe & Central Asia
Albania,1978,3.947,69.753,2562121,Europe & Central Asia
Albania,1979,3.807,70.001,2616530,Europe & Central Asia
Albania,1980,3.678,70.218,2671300,Europe & Central Asia
Albania,1981,3.562,70.426,2725029,Europe & Central Asia
Albania,1982,3.46,70.646,2777592,Europe & Central Asia
Albania,1983,3.372,70.886,2831682,Europe & Central Asia
Albania,1984,3.297,71.144,2891004,Europe & Central Asia
Albania,1985,3.233,71.398,2957390,Europe & Central Asia
Albania,1986,3.177,71.615,3033393,Europe & Central Asia
Albania,1987,3.126,71.77,3116009,Europe & Central Asia
Albania,1988,3.075,71.853,3194854,Europe & Central Asia
Albania,1989,3.023,71.87,3255859,Europe & Central Asia
